1,"(6.333, 0.792, 0.725)",-1.8145454545454545
1,"(12.0, 0.519, 0.407)",-1.7381818181818183
1,"(9.45, 0.75, 0.25)",-1.7563636363636363
1,"(12.0, 0.787, 0.25)",-1.7418181818181817
1,"(8.8, 0.255, 0.504)",-1.730909090909091
1,"(12.0, 0.819, 0.653)",-1.7454545454545454
2,"(6.3, 0.25, 0.75)",-1.8545454545454545
2,"(6.333, 0.264, 0.242)",-1.84
2,"(6.475, 0.254, 0.494)",-1.8254545454545454
2,"(9.552, 0.256, 0.753)",-1.8181818181818181
2,"(12.0, 0.263, 0.75)",-1.8072727272727274
2,"(9.567, 0.255, 0.474)",-1.8
3,"(6.856, 0.252, 0.5, 0.485)",-1.8836363636363636
3,"(10.098, 0.251, 0.718, 0.527)",-1.8581818181818182
3,"(6.533, 0.267, 0.747, 0.666)",-1.8472727272727272
3,"(10.105, 0.246, 0.5, 0.491)",-1.8363636363636364
3,"(12.0, 0.263, 0.75, 0.525)",-1.8327272727272728
3,"(10.913, 0.278, 0.569, 0.257)",-1.8618181818181818
