date,player 1,player 2,matchOddsP1,matchOddsP2,OddsScore02,OddsScore12,OddsScore21,OddsScore20,oddsTotalSetsOver,oddsTotalSetsUnder
18/06/2018,Roberto Bautista Agut,Karen Khachanov,2,1.8,2.75,4,4.5,3.2,2.37,1.53
25/06/2018,Mikhail Kukushkin,David Ferrer,1.72,2,3.2,4.5,4,2.62,2.37,1.64
19/03/2018,Joao Sousa,Ryan Harrison,1.9,1.8,2.75,4,4.5,3,2.25,1.57
19/02/2018,Dominic Thiem,Dusan Lajovic,1.12,6,9,11,4.5,1.4,3.75,1.25
21/05/2018,Frances Tiafoe,Ryan Harrison,1.44,2.62,4.33,5.5,4,2.1,2.5,1.5
7/05/2018,Novak Djokovic,Kei Nishikori,1.66,2.1,3.25,4.5,4,2.62,2.37,1.53
13/08/2018,Jeremy Chardy,Fernando Verdasco,2.25,1.57,2.37,4,5,3.75,2.37,1.53
19/02/2018,Nicolas Mahut,Gilles Muller,2.1,1.66,2.62,4,4.5,3.25,2.37,1.53
19/02/2018,Pablo Cuevas,Thiago Monteiro,1.44,2.62,4.33,5.5,3.75,2.1,2.5,1.5
25/06/2018,Adrian Mannarino,Ricardas Berankis,1.25,3.75,6,7.5,4,1.72,2.75,1.4
25/06/2018,Leonardo Mayer,Gilles Simon,2,1.72,2.62,4,4.5,3.2,2.37,1.53
12/02/2018,Aljaz Bedene,Federico Delbonis,1.61,2.3,3.5,5,4,2.5,2.37,1.53
23/04/2018,Rafael Nadal,Martin Klizan,1.02,15,19,23,6.5,1.12,6.5,1.1
25/02/2019,Laslo Djere,Malek Jaziri,1.33,3.25,5.5,6.5,4,1.9,2.5,1.48
18/03/2019,Ilya Ivashka,Thomas Fabbiano,2,1.72,2.75,4.33,4.75,3.4,2.31,1.57
24/06/2019,Sam Querrey,Thomas Fabbiano,1.22,4.33,7,9,4.33,1.57,2.62,1.46
29/04/2019,Philipp Kohlschreiber,Andreas Seppi,1.25,3.75,6.5,7.5,4,1.72,2.62,1.44
21/10/2019,Filip Krajinovic,Laslo Djere,1.16,5,9,10,4.33,1.5,3.03,1.36
22/11/2019,Guido Pella,Pablo Carreno Busta,2.62,1.44,2.1,4,5.5,4.33,2.32,1.58
30/09/2019,Jeremy Chardy,Marco Cecchinato,1.33,3.25,5,6.5,4,1.9,2.55,1.46
14/10/2019,Stan Wawrinka,Gilles Simon,1.5,2.62,4.33,5.5,4,2.2,2.36,1.57
21/10/2019,Mikhail Kukushkin,Borna Coric,2.25,1.57,2.37,4,5,3.75,2.37,1.56
7/10/2019,Nikoloz Basilashvili,Benoit Paire,1.66,2.1,3.5,5,4,2.62,2.3,1.58
6/05/2019,Jeremy Chardy,Diego Sebastian Schwartzman,3.25,1.33,1.83,4,7,5.5,2.52,1.47
11/11/2019,Rafael Nadal,Stefanos Tsitsipas,1.44,2.75,4.5,6,4,2.1,2.42,1.53
